,date,link,model,nb_replies,nb_views,title,user
14,latest reply 2 days ago                             by MarcoMangini,/thread/8163993,iphone_X,12 replies,285 views,iPhone X Bluetooth Issues,asked by JohnnyGangsta
15,latest reply 2 days ago                             by Philly_Phan,/thread/8202465,iphone_X,48 replies,"2,220 views",iphone x red eye with flash,asked by sagwal
16,latest reply 2 days ago                             by yalsayed,/thread/8148626,iphone_X,9 replies,94 views,Black Dot appearing in Portrait mode,asked by Sunny Sohi
17,2 days ago,/thread/8240437,iphone_X,0 replies,13 views,ATT WiFi Calling - How do I improve Call Quality?,asked by frankacano
18,latest reply 2 days ago                             by lkrupp,/thread/8240079,iphone_X,1 reply,12 views,my phone types it as I.T how do you correct this?,asked by Barbsm
19,latest reply 2 days ago                             by Briansyddall,/thread/8239900,iphone_X,2 replies,21 views,Metalic click sound iPhone X,asked by rajike
20,latest reply 3 days ago                             by Franeal,/thread/8153524,iphone_X,57 replies,"10,983 views",iPhone X with Apple Leather Folio Mic Issues,asked by simongnz
21,latest reply 3 days ago                             by Philly_Phan,/thread/8234737,iphone_X,27 replies,143 views,iPhone X flash red eye/white eye,asked by DordaTX
22,latest reply 3 days ago                             by MrBill3,/thread/8238303,iphone_X,1 reply,45 views,About replacement battery,asked by luqmanhakimi
23,latest reply 5 days ago                             by Briansyddall,/thread/8236322,iphone_X,2 replies,62 views,iPhone X Green Line Issue,asked by ajith102
24,latest reply 3 days ago                             by toastosxDC,/thread/8192575,iphone_X,8 replies,"4,512 views",Iphone x SLOW and LAGGY,asked by Drorramat
25,latest reply 3 days ago                             by 10CTG,/thread/8181554,iphone_X,10 replies,"1,570 views",iPhone X randomly powers / shuts off,asked by SmokeFirefighter14
26,latest reply 4 days ago                             by GhillieK9,/thread/8159352,iphone_X,22 replies,387 views,iPhone X not waking up when pressing side button,asked by chistery
27,latest reply 4 days ago                             by rbrylawski,/thread/8238288,iphone_X,5 replies,42 views,I bought an inferior iPhone x,asked by PendragonArtoria
28,latest reply 4 days ago                             by Jed112233,/thread/8222060,iphone_X,5 replies,183 views,iPhone X camera lens crack,asked by Jed112233
29,latest reply 4 days ago                             by Ranji,/thread/8212593,iphone_X,8 replies,570 views,iPhone X GPS not working,asked by jkowerski
30,latest reply 4 days ago                             by rbrylawski,/thread/8237338,iphone_X,2 replies,47 views,Iphone x water resistant,asked by Djitindersingh
31,latest reply 4 days ago                             by Briansyddall,/thread/8237101,iphone_X,1 reply,37 views,Iphone X black screen,asked by ivan_khaw
32,latest reply 5 days ago                             by Philly_Phan,/thread/8236831,iphone_X,1 reply,34 views,Iphone x screen malfunction,asked by helenfromscottsdale
33,latest reply 5 days ago                             by Philly_Phan,/thread/8236782,iphone_X,2 replies,24 views,Did I damage my iPhone X?,asked by kathvil
34,5 days ago,/thread/8236497,iphone_X,0 replies,28 views,Issue with iPhone X 3D Touch,asked by azazaza
35,latest reply 5 days ago                             by deggie,/thread/8235314,iphone_X,7 replies,55 views,No way to delete beta transcription voicemail?,asked by suzyfrombeaverton
36,latest reply 5 days ago                             by icedy12,/thread/8235450,iphone_X,2 replies,28 views,iPhone X keeps shutting down,asked by icedy12
37,latest reply 5 days ago                             by luca297,/thread/8152250,iphone_X,4 replies,684 views,iPhone X Screen has yellow tint.,asked by JUNHEO
38,latest reply 6 days ago                             by Cgimler95,/thread/8156652,iphone_X,23 replies,"1,874 views",iPhone X not working with Carplay,asked by davidsoto
39,latest reply 6 days ago                             by miguel_forum,/thread/8235028,iphone_X,5 replies,32 views,siri is draining my iPhone battery in iOS11,asked by miguel_forum
40,latest reply 6 days ago                             by Tulsagrammer,/thread/8171641,iphone_X,2 replies,74 views,How will using Maps on a extended trip affect burn-in?,asked by nasned
41,latest reply 6 days ago                             by Adam4325235,/thread/8216922,iphone_X,1 reply,49 views,iPhone X Volume Buttons Delayed,asked by SplitSecond
42,latest reply 1 week ago                             by Briansyddall,/thread/8232822,iphone_X,1 reply,37 views,iPhone x medical id issues,asked by P3@NUT
43,latest reply 6 days ago                             by Moomin_Man,/thread/8148120,iphone_X,3 replies,110 views,Issue with Animoji audio,asked by leppie
44,latest reply 7 days ago                             by Eric~F,/thread/8233115,iphone_X,1 reply,20 views,Settings search not working,asked by luisk23
45,latest reply 7 days ago                             by billfromgladstone,/thread/8153534,iphone_X,48 replies,"15,252 views",iPhone X blurry photos- not happy,asked by h20wakebum
46,latest reply 1 week ago                             by Ikac1992,/thread/8232033,iphone_X,2 replies,44 views,dust in rear camera Iphone X,asked by dmitriifromsaint-petersburg
47,latest reply 7 days ago                             by Fabrice Masachs,/thread/8221461,iphone_X,3 replies,142 views,iPhone X corner radius?,asked by chriscrutt
48,7 days ago,/thread/8233662,iphone_X,0 replies,21 views,"""Inbox"" Replaced with 70FB9178-576E-4CAA despite new phone and setting up as new.  Running 10.2.2.  Does not affect mailflow with Exchange 2010  ...",asked by jpdecker
49,latest reply 1 week ago                             by usnaxc,/thread/8232202,iphone_X,12 replies,80 views,"Problems with unlocked iPhone X, model A1865, bought from Apple Store for use overseas",asked by usnaxc
50,latest reply 1 week ago                             by Briansyddall,/thread/8232603,iphone_X,2 replies,163 views,iPhone X iOS 11.2.2 no sim installed,asked by vinnynapoli10
51,latest reply 1 week ago                             by Briansyddall,/thread/8230625,iphone_X,5 replies,66 views,Will quick charging reduce battery life and/or durability?,asked by norton8
52,latest reply 1 week ago                             by Lee997,/thread/8186505,iphone_X,6 replies,168 views,iPhone X wireless charging stops working,asked by jruphoff
53,1 week ago,/thread/8233001,iphone_X,0 replies,28 views,True North/South Compass on IPhone X,asked by bazza104
54,latest reply 1 week ago                             by shameera_07505,/thread/8232712,iphone_X,5 replies,46 views,PLEASE UPDATE ABOUT COVER GLASS,asked by shameera_07505
55,latest reply 1 week ago                             by ProustGiulio,/thread/8232915,iphone_X,2 replies,10 views,App News in Italy,asked by dem96
56,latest reply 1 week ago                             by lavsmohan,/thread/8146074,iphone_X,155 replies,"30,293 views",iPhone X touch screen not working,asked by Thomas Gaynor1
57,latest reply 1 week ago                             by KiltedTim,/thread/8232455,iphone_X,2 replies,44 views,Will security patch for Spectre and Meltdown slow processor by as much as 30% for iOS and macOS?,asked by mikeflores2000
58,1 week ago,/thread/8232256,iphone_X,0 replies,34 views,iPhone X Possible WiFi Problem,asked by funkypickl
59,latest reply 1 week ago                             by ProustGiulio,/thread/8232098,iphone_X,1 reply,17 views,iPhone 7 Plus Screen Scratches,asked by Nick from BC
60,latest reply 1 week ago                             by PeeGee76,/thread/8230916,iphone_X,5 replies,88 views,iPhone x Bottom Speaker,asked by PeeGee76
61,latest reply 1 week ago                             by mariohadid,/thread/8167576,iphone_X,5 replies,243 views,iPhone X restarting,asked by alaniwan
62,latest reply 1 week ago                             by jbpnyc1130,/thread/8201585,iphone_X,2 replies,349 views,Stuck on Restoring Media?,asked by ThunderBunny37
63,latest reply 1 week ago                             by Briansyddall,/thread/8230962,iphone_X,3 replies,50 views,Iphone X,asked by bogdanete
64,latest reply 1 week ago                             by jessemooney,/thread/8231065,iphone_X,1 reply,44 views,New iPhone X has 19 Hours usage,asked by jessemooney
65,latest reply 1 week ago                             by stedman1,/thread/8231148,iphone_X,3 replies,18 views,Has anyone heard of the iPhone X bluetooth malfunctioning?,asked by hninja3k
66,latest reply 1 week ago                             by jmush1,/thread/8219554,iphone_X,5 replies,271 views,IPhone X not working with touchscreen gloves?,asked by Kitagrl28
67,1 week ago,/thread/8230897,iphone_X,0 replies,27 views,iPhone X Clicking Sound,asked by kirky_82
68,1 week ago,/thread/8230634,iphone_X,0 replies,15 views,cycle count,asked by антонfromnull
69,1 week ago,/thread/8230488,iphone_X,0 replies,22 views,iPhone X Touchscreen / Multi-Touch randomly stops working,asked by tallrob
70,latest reply 1 week ago                             by KiltedTim,/thread/8230295,iphone_X,1 reply,34 views,iPhone X Display Problems,asked by a.a23
71,latest reply 1 week ago                             by Briansyddall,/thread/8203716,iphone_X,6 replies,129 views,Iphone X power button,asked by tankrd
72,latest reply 1 week ago                             by Briansyddall,/thread/8230181,iphone_X,1 reply,22 views,iPhone X lock screen disappears - do not need Face ID or passcode to unlock,asked by jessweiss
73,latest reply 1 week ago                             by Anastasia2407,/thread/8145804,iphone_X,77 replies,"13,144 views",iPhone X - green line,asked by benvolio1979
74,latest reply 1 week ago                             by Hollyl69,/thread/8229573,iphone_X,2 replies,55 views,iPhone X doesn't vibrate,asked by adil.mal
75,latest reply 1 week ago                             by Lawrence Finch,/thread/8229414,iphone_X,9 replies,93 views,iphone x battery usage and stand by time the same,asked by Tom12889
76,1 week ago,/thread/8228995,iphone_X,0 replies,22 views,"any reason why i can't take advantage of ATT Bogo w/iphone 8, then buy one iphone 10 and use SIM from an iphone 8, then sell the iphone 8?",asked by vmlsr
77,latest reply 2 weeks ago                             by Rami_K.,/thread/8147051,iphone_X,3 replies,568 views,iPhone X screen lock delay,asked by roman.giesen
78,latest reply 2 weeks ago                             by okselena,/thread/8189359,iphone_X,8 replies,366 views,"iPhone X ""Ghost Touch"" Glitch On Screen",asked by ToastGhost
79,latest reply 2 weeks ago                             by alexrat1996,/thread/8227993,iphone_X,7 replies,54 views,iphone x upgrade program with replacement from apple care express replacment,asked by alexrat1996
80,latest reply 2 weeks ago                             by fadimmoris,/thread/8216972,iphone_X,2 replies,55 views,iPHONE X Attention Awareness not working,asked by purpyj
81,2 weeks ago,/thread/8228114,iphone_X,0 replies,14 views,iMessage camera defaults to selfie mode,asked by John Burdick1
82,latest reply 2 weeks ago                             by Vahdyx,/thread/8227627,iphone_X,4 replies,28 views,"iPhone X: Sometimes single tap on the ""Side Button"" acts like double tap...",asked by Vahdyx
83,latest reply 2 weeks ago                             by cadplan45,/thread/8225492,iphone_X,2 replies,75 views,iPhone X won't turn on,asked by cadplan45
84,latest reply 2 weeks ago                             by Briansyddall,/thread/8227441,iphone_X,1 reply,15 views,"I just got a iphoneX, but Mozambique is not in the list of countries, how to include to activate appleID?",asked by antonio frommaputo
85,latest reply 2 weeks ago                             by Briansyddall,/thread/8227311,iphone_X,1 reply,26 views,iPhone X spinner FOREVER,asked by Raghu_rb
86,latest reply 2 weeks ago                             by Jony00788,/thread/8198603,iphone_X,15 replies,"2,785 views",iPhone X touch screen is not working,asked by chathurasl
87,latest reply 2 weeks ago                             by sberman,/thread/8226903,iphone_X,1 reply,128 views,Scam Amazon pop ups on Safari,asked by Burghguy724
88,latest reply 2 weeks ago                             by Leigh9192,/thread/8199244,iphone_X,10 replies,"2,026 views",iPhone X battery drained 100% overnight,asked by hitigon
89,latest reply 2 weeks ago                             by MrBill3,/thread/8226405,iphone_X,1 reply,24 views,Wireless Charger,asked by fdezarra
90,2 weeks ago,/thread/8226256,iphone_X,0 replies,13 views,iPhone X ticking/clicking sounds when recording audio in car?,asked by mirk
91,latest reply 2 weeks ago                             by Mulder2000,/thread/8225951,iphone_X,1 reply,100 views,Is IPhone X and latest IPad Pro's affected by 'Meltdown' and 'Spectre' vulnerabilities?,asked by alisterfromstirling
92,latest reply 2 weeks ago                             by welafever,/thread/8212265,iphone_X,1 reply,33 views,Face ID,asked by Sasaggb
93,latest reply 2 weeks ago                             by Johnathan Burger,/thread/8223646,iphone_X,1 reply,93 views,Green line going down the screen on my iphone X,asked by chloe22499
94,2 weeks ago,/thread/8225204,iphone_X,0 replies,10 views,Won't ring while in lock screen,asked by dpthomp
95,latest reply 2 weeks ago                             by rbrylawski,/thread/8224890,iphone_X,4 replies,40 views,iPhone X Display Burn-in,asked by tingkr
96,latest reply 2 weeks ago                             by Michael Black,/thread/8224533,iphone_X,2 replies,26 views,How can I buy an iPhone X for my friend in Tokyo?,asked by Margin_Al
97,latest reply 2 weeks ago                             by ubersoldat1,/thread/8167854,iphone_X,2 replies,47 views,iPhone X and Apple Car Play by VW,asked by Don1963
98,latest reply 2 weeks ago                             by Kappy,/thread/8222438,iphone_X,3 replies,54 views,where i can send my iphone x to repair cracked screen,asked by mcma1975
99,latest reply 2 weeks ago                             by Seggy000,/thread/8188269,iphone_X,7 replies,"2,028 views",iPhone X boot loop resolution and findings.,asked by techdag
100,latest reply 2 weeks ago                             by ChrisJ4203,/thread/8222365,iphone_X,1 reply,114 views,Iphone X screen keeps freezing,asked by citationcj2
101,latest reply 2 weeks ago                             by welafever,/thread/8223759,iphone_X,2 replies,22 views,Can't get second icloud account to work on iphone x,asked by Howmander
102,latest reply 2 weeks ago                             by Hebron5ever,/thread/8221701,iphone_X,6 replies,91 views,"""System Storage"" is 18GB on new iPhone X",asked by Hebron5ever
103,latest reply 2 weeks ago                             by Michael Black,/thread/8223140,iphone_X,5 replies,41 views,California Taxes,asked by Emasjob
104,latest reply 2 weeks ago                             by Briansyddall,/thread/8223231,iphone_X,1 reply,20 views,"Display questions about iPhone X (viewed at an angle, sudden brightness change)",asked by Doug Lerner2
105,2 weeks ago,/thread/8223070,iphone_X,0 replies,18 views,Notification stops music,asked by benjgarman123
106,latest reply 2 weeks ago                             by Bentoer,/thread/8195141,iphone_X,8 replies,515 views,iPhone X - Weird clicking sounds made by taptic engine (?),asked by DangerRanger84
107,2 weeks ago,/thread/8222680,iphone_X,0 replies,36 views,iPhone X Black Screen in Calls,asked by cardude10
108,latest reply 2 weeks ago                             by LeVeau,/thread/8215870,iphone_X,3 replies,74 views,Audio distortion on iPhone X when paired with Apple Watch,asked by LeVeau
109,latest reply 2 weeks ago                             by welafever,/thread/8222501,iphone_X,1 reply,27 views,Will Chinese iPhones have FaceTime?,asked by OmarA.
110,latest reply 2 weeks ago                             by ProustGiulio,/thread/8220153,iphone_X,1 reply,65 views,Pink line on screen,asked by pinazufl
111,2 weeks ago,/thread/8222454,iphone_X,0 replies,18 views,How do I restore a blank display on an iPhone X that is on?,asked by Weps1059
112,latest reply 2 weeks ago                             by ssschmidt,/thread/8222270,iphone_X,1 reply,15 views,AppleCare Purchase,asked by acrush
113,latest reply 2 weeks ago                             by Briansyddall,/thread/8221752,iphone_X,1 reply,20 views,iPhone X- DND killing battery.,asked by sreyes221
114,latest reply 2 weeks ago                             by Briansyddall,/thread/8221412,iphone_X,1 reply,70 views,Will fast-charging have any future negative effects on the battery?,asked by mcarter52
115,latest reply 2 weeks ago                             by KatieChee,/thread/8211608,iphone_X,2 replies,34 views,iPhone X Crashing,asked by KatieChee
116,latest reply 2 weeks ago                             by JoeAugusto,/thread/8220688,iphone_X,2 replies,40 views,How to reset the I phone x processor,asked by JoeAugusto
117,latest reply 2 weeks ago                             by parswanath,/thread/8219830,iphone_X,2 replies,37 views,Will unlocked A1901 phone work on GSM and CDMA networks; and will it work in all countries.,asked by parswanath
118,latest reply 2 weeks ago                             by Briansyddall,/thread/8220563,iphone_X,5 replies,46 views,iPhone X has black screen and will not respond. Full battery. Help!,asked by Behacad
119,latest reply 2 weeks ago                             by Briansyddall,/thread/8149866,iphone_X,5 replies,479 views,Display in my iPhone X flickers,asked by Igor Kokarev
120,latest reply 2 weeks ago                             by QuietStormAZJ,/thread/8220073,iphone_X,2 replies,28 views,Accidentally used an iPad charger on IPhone X for like 10 min. Is it bad?,asked by QuietStormAZJ
121,latest reply 2 weeks ago                             by MrBill3,/thread/8218822,iphone_X,1 reply,16 views,iphone not working,asked by chamielcnb
122,latest reply 2 weeks ago                             by Michael Black,/thread/8219252,iphone_X,2 replies,35 views,Will we be covered if image retention/burning happens?,asked by Luzma.1
123,latest reply 2 weeks ago                             by 4ward1978,/thread/8155152,iphone_X,6 replies,"2,658 views",iPhone X rear camera not working,asked by KristofferO
124,latest reply 2 weeks ago                             by sberman,/thread/8218840,iphone_X,4 replies,90 views,iPhone X Battery dying much faster after getting Apple Watch 3 with Cellular.,asked by Brickmoosie
125,latest reply 3 weeks ago                             by MrBill3,/thread/8218079,iphone_X,1 reply,23 views,"Why,doesnt,my,new,Phone,X,include,a,SIMI,card.?",asked by Jenifer01
126,latest reply 3 weeks ago                             by rbrylawski,/thread/8217098,iphone_X,1 reply,71 views,How do you turn a iPhone X off?,asked by 2793Arugala
127,latest reply 3 weeks ago                             by greekyptianguy,/thread/8207952,iphone_X,4 replies,53 views,iPhone X Wireless Charging,asked by Aditya407
128,latest reply 3 weeks ago                             by sschez92,/thread/8215343,iphone_X,2 replies,410 views,iPhone X screen not working!!!,asked by sschez92
129,latest reply 3 weeks ago                             by IdrisSeabright,/thread/8215580,iphone_X,6 replies,89 views,"iPhone X Shows its connected to WiFi, however no 'internet connection exists'",asked by relliott23
130,3 weeks ago,/thread/8216307,iphone_X,0 replies,17 views,Text msg search,asked by Ango007
131,latest reply 3 weeks ago                             by kapple21,/thread/8203629,iphone_X,1 reply,430 views,iphone x light flickering problem in slow motion,asked by sagwal
132,latest reply 3 weeks ago                             by madra31,/thread/8215520,iphone_X,3 replies,76 views,Iphone X creaking/popping noise,asked by mpe916
133,latest reply 3 weeks ago                             by kapple21,/thread/8212432,iphone_X,2 replies,63 views,FaceID for those wearing healthcare surgical face mask,asked by xplee
134,latest reply 3 weeks ago                             by Briansyddall,/thread/8214985,iphone_X,1 reply,14 views,iphone x,asked by Gazafc
135,latest reply 3 weeks ago                             by Max(IT),/thread/8213652,iphone_X,4 replies,39 views,is iphone x / iphone 8 and 8 plus displays glass scratch proof or not?,asked by shameera_07505
136,latest reply 3 weeks ago                             by Michael Black,/thread/8211622,iphone_X,2 replies,36 views,How to use iPhone  as a removable hard drive,asked by jay macchi
137,latest reply 3 weeks ago                             by bklyn550,/thread/8146421,iphone_X,4 replies,509 views,iPhone X Blur when Scrolling,asked by pheremone7
138,latest reply 3 weeks ago                             by vascofromnew york,/thread/8200424,iphone_X,4 replies,251 views,Airplay from iPhone X to Apple TV 4K stutters,asked by floring83
139,latest reply 3 weeks ago                             by RFD,/thread/8169494,iphone_X,5 replies,258 views,voice call quality iPhone X,asked by ray333
140,3 weeks ago,/thread/8212322,iphone_X,0 replies,31 views,iPhone X Battery Backup,asked by Aditya407
141,latest reply 3 weeks ago                             by Briansyddall,/thread/8211617,iphone_X,3 replies,44 views,Purchase iPhone in Spain and AppleCare+ in Ireland,asked by DeborahGilAlv
142,3 weeks ago,/thread/8211802,iphone_X,0 replies,11 views,New iPad or iPhone will not power off HELP,asked by DADIG
143,3 weeks ago,/thread/8211279,iphone_X,0 replies,24 views,iPhone X stays connected to CarPlay,asked by GQSmooos
144,latest reply 3 weeks ago                             by FelipeV,/thread/8210795,iphone_X,4 replies,67 views,Claim iPhone,asked by norawich
145,latest reply 3 weeks ago                             by Briansyddall,/thread/8211046,iphone_X,1 reply,14 views,"Help, my iPhone X Apple Music isn't working.",asked by aaronirving
146,3 weeks ago,/thread/8210792,iphone_X,0 replies,12 views,iPhone X speakerphone echo when charging wirelessly,asked by johnnygoodface
147,latest reply 3 weeks ago                             by Snn5,/thread/8209253,iphone_X,3 replies,58 views,When is Apple going to give my 6s full processing power again?,asked by Wrov
148,latest reply 4 weeks ago                             by alexrat1996,/thread/8209906,iphone_X,4 replies,69 views,iPhone X issues,asked by alexrat1996
149,4 weeks ago,/thread/8209993,iphone_X,0 replies,60 views,new icloud terms and conditions,asked by techead69
150,latest reply 4 weeks ago                             by 90gusgus09,/thread/8209561,iphone_X,2 replies,29 views,Can my foreign friend pick up my iphone?,asked by 90gusgus09
151,4 weeks ago,/thread/8209864,iphone_X,0 replies,65 views,"Clicking screen sound on iPhone X, suggestions?",asked by batiboi
152,latest reply 4 weeks ago                             by ProustGiulio,/thread/8208914,iphone_X,2 replies,31 views,iPhone X issues w/long screen button holds in apps,asked by JetTroop
153,latest reply 4 weeks ago                             by balmoorisatwik,/thread/8181324,iphone_X,2 replies,56 views,I'm willing to buy an iPhone which should work in India and Australia. So can anyone tell me the list of models which work in both countries (willing to buy any iPh ...,asked by balmoorisatwik
154,latest reply 4 weeks ago                             by KiltedTim,/thread/8208467,iphone_X,14 replies,88 views,iphone x scratch Face ID,asked by alexrat1996
155,latest reply 4 weeks ago                             by JsPhnuah,/thread/8204230,iphone_X,2 replies,250 views,"why my iPhone X is not working when I want to use it to send voice message at Wechat and I also encounter problem of calling using WhatSapp, other party can't hear  ...",asked by et9980
156,latest reply 4 weeks ago                             by El-Terror,/thread/8206351,iphone_X,6 replies,77 views,iPhone 10 Freezing Issue,asked by El-Terror
157,latest reply 4 weeks ago                             by William Kucharski,/thread/8185242,iphone_X,9 replies,292 views,IPhone X's screen is still unresponsive - iOS 11.2,asked by Willky23b
158,latest reply 4 weeks ago                             by Irfan Tarique,/thread/8207867,iphone_X,2 replies,155 views,Face ID Eye Damage Concern - Flood Illuminator and Dot Projector,asked by Irfan Tarique
159,latest reply 4 weeks ago                             by Briansyddall,/thread/8207790,iphone_X,8 replies,72 views,Will applying a dbrand void warranty on a iPhone X,asked by Dantheman6212
160,latest reply 4 weeks ago                             by Allan Eckert,/thread/8207666,iphone_X,3 replies,44 views,restore iphone,asked by burbank1212
161,latest reply 4 weeks ago                             by needleman_mark,/thread/8207350,iphone_X,6 replies,56 views,Cant activate cellular data network,asked by needleman_mark
162,latest reply 4 weeks ago                             by Farrez,/thread/8206616,iphone_X,6 replies,49 views,Unlocked Iphone X wont work with Brazilian sim card,asked by jpvsvieira
163,latest reply 4 weeks ago                             by jameson.h,/thread/8206455,iphone_X,1 reply,18 views,"When asking Siri to turn things ""on"", it interprets it as turning it ""off""",asked by dkchen
164,latest reply 4 weeks ago                             by Marius2m,/thread/8206228,iphone_X,7 replies,123 views,Red Shift on iPhone X,asked by Marius2m
165,latest reply 4 weeks ago                             by Irtuli,/thread/8207046,iphone_X,2 replies,372 views,Face ID has been disabled (new Iphone X) - defect. So dissapointed:(,asked by Irtuli
166,latest reply 4 weeks ago                             by Zkemmett,/thread/8156746,iphone_X,1 reply,352 views,Why doesn’t iPhone X work with my ANT+ dongle (via lightning to 30-pin dock adapter and Wahoo Fiscia Key)?,asked by L.Shaner
167,latest reply 4 weeks ago                             by welafever,/thread/8206141,iphone_X,1 reply,44 views,Screen auto-dimming at random (It's not turned on),asked by Bennett10137
168,latest reply 4 weeks ago                             by brenden dv,/thread/8205700,iphone_X,1 reply,40 views,FaceID and Portrait Mode Stops Working at the same time.,asked by jamesisahero07
169,latest reply 1 month ago                             by sberman,/thread/8205218,iphone_X,1 reply,60 views,Unable to connect new iPhone to iTunes via MBP.,asked by ShoHall
170,latest reply 1 month ago                             by madra31,/thread/8206175,iphone_X,1 reply,23 views,iPhone X not getting notifications from messages,asked by mashley1998
171,latest reply 1 month ago                             by FelipeV,/thread/8205777,iphone_X,1 reply,17 views,Restoring the backup,asked by ethabet
172,latest reply 1 month ago                             by pacampe,/thread/8188760,iphone_X,2 replies,62 views,iphone X charging problem,asked by pacampe
173,latest reply 1 month ago                             by xinchao1987,/thread/8203348,iphone_X,7 replies,137 views,Purchased two iPhone X but received empty box,asked by xinchao1987
174,latest reply 1 month ago                             by sberman,/thread/8205269,iphone_X,1 reply,21 views,Reactions in Messages,asked by elothan
175,latest reply 1 month ago                             by razmee209,/thread/8204152,iphone_X,1 reply,76 views,Is SIM CARD FROM IP6s comparable with IPX?,asked by robeburt
176,latest reply 1 month ago                             by madra31,/thread/8203485,iphone_X,2 replies,74 views,iPhone X bought at Best Buy - US,asked by mauroneto
177,latest reply 1 month ago                             by Briansyddall,/thread/8202402,iphone_X,3 replies,134 views,I cannot unlock my Iphone X with FaceID or secure number.,asked by jitpawin
178,latest reply 1 month ago                             by from0toHero,/thread/8204712,iphone_X,1 reply,163 views,Found defect 'dead pixel' iPhone X,asked by Kanokppp
179,latest reply 1 month ago                             by thebestiphone,/thread/8166202,iphone_X,4 replies,126 views,Crackling sound on iPhone X,asked by BocaBoy
180,1 month ago,/thread/8204211,iphone_X,0 replies,43 views,iPhone X Inductive Charging Just Stopped Working,asked by MJT2810
181,latest reply 1 month ago                             by TazX14,/thread/8200014,iphone_X,2 replies,56 views,How to resolve customer support issue,asked by TazX14
182,latest reply 1 month ago                             by Niel,/thread/8199584,iphone_X,1 reply,107 views,Setting up new iPhone X from backup of iPhone 5s running iOS 10,asked by Zivheads
183,latest reply 1 month ago                             by Pasco008,/thread/8203188,iphone_X,2 replies,68 views,Iphone X music app not working and can't view apple id,asked by Pasco008
184,latest reply 1 month ago                             by L7S,/thread/8202770,iphone_X,3 replies,47 views,iPhone X - Vodafone UK screen problem,asked by L7S
185,latest reply 1 month ago                             by tl415,/thread/8193256,iphone_X,2 replies,62 views,iPhone X auto-locks in 10s when viewing from reclined position,asked by tl415
186,latest reply 1 month ago                             by Ferd II,/thread/8203006,iphone_X,1 reply,44 views,memory for iPhone X,asked by wdh36
187,latest reply 1 month ago                             by Where do I live,/thread/8201115,iphone_X,3 replies,74 views,Unlock Iphone X with my Airpods,asked by Where do I live
188,latest reply 1 month ago                             by mriyansah,/thread/8183568,iphone_X,4 replies,121 views,Iphone X earpiece crackling noise,asked by manikanta.sai20
189,latest reply 1 month ago                             by deggie,/thread/8200224,iphone_X,1 reply,107 views,iPhone X Lightning port issues,asked by Aplexfer
190,latest reply 1 month ago                             by welafever,/thread/8198671,iphone_X,1 reply,128 views,Deleted Trusted Certificates that got restored from backup,asked by jai.ash
191,latest reply 1 month ago                             by ats2714,/thread/8196953,iphone_X,2 replies,113 views,Why does my iPhone x go mute when I'm talking,asked by ats2714
192,latest reply 1 month ago                             by welafever,/thread/8201031,iphone_X,1 reply,334 views,iPhone X Overheating,asked by JanelleHarmer
193,latest reply 1 month ago                             by Jackj100,/thread/8198126,iphone_X,4 replies,111 views,"Face ID unsafe, recognize me and my son",asked by ammiraglio
194,1 month ago,/thread/8201149,iphone_X,0 replies,72 views,why does my iphone x keep resetting my ringtones to default?,asked by PASx1
195,latest reply 1 month ago                             by Thomas O'Connell,/thread/8200406,iphone_X,2 replies,63 views,USB / iPhone X problem???,asked by Thomas O'Connell
